SSN,Fname,Lname,Bdate,Email,Address,Sex
7935604,Mike,Smith ,1972-08-03,MikeSmith @gmail.com,777 Brockton Avenue,Male
7095361,John,Doe,1985-02-03,JohnDoe@gmail.com,30 Memorial Drive,Male
9124314,Luke,Hunt,1970-05-16,LukeHunt@gmail.com,250 Hartford Avenue,Female
8919238,Kyle,Mohammed,1973-07-04,KyleMohammed@gmail.com,700 Oak Street,Sex
9154743,Josh,Gabriele,1988-08-06,JoshGabriele@gmail.com,66-4 Parkhurst Rd,Male
9504248,Duncan,Forrest,1978-01-29,DuncanForrest@gmail.com,591 Memorial Dr,Male
9657899,Jake,Hill,1987-03-23,JakeHill@gmail.com,55 Brooksby Village Way,Female
8805318,Eric,Pepal,1986-08-11,EricPepal@gmail.com,137 Teaticket Hwy,Sex
9256728,Nick,Chimenti,1990-05-01,NickChimenti@gmail.com,42 Fairhaven Commons Way,Male
7217550,David,Bichette,1988-02-27,DavidBichette@gmail.com,374 William S Canning Blvd,Male
9599865,Hudson,Trout,1981-08-23,HudsonTrout@gmail.com,121 Worcester Rd,Female
9039610,Ryan,Gretzyky,1973-04-21,RyanGretzyky@gmail.com,677 Timpany Blvd,Sex
7145136,Blake,Tyson,1973-02-16,BlakeTyson@gmail.com,337 Russell St,Male
8536888,Matteo,James,1976-07-21,MatteoJames@gmail.com,295 Plymouth Street,Male
8594858,Daniel,Tatum,1984-01-18,DanielTatum@gmail.com,1775 Washington St,Female
9769880,Lewis,Matthews,1984-10-20,LewisMatthews@gmail.com,280 Washington Street,Sex
9677724,Alex,Marner,1989-02-21,AlexMarner@gmail.com,20 Soojian Dr,Male
9086301,John,Siakim,1986-12-15,JohnSiakim@gmail.com,11 Jungle Road,Male
7590566,Matt,Lowry,1971-06-11,MattLowry@gmail.com,301 Massachusetts Ave,Female
1992592,Paul,Desco ,1987-05-16,PaulDesco @gmail.com,780 Lynnway,Female
1992593,Robin,Harper,1980-10-22,RobinHarper@gmail.com,70 Pleasant Valley Street,Female
1992594,Pam,Halpert,1984-02-17,PamHalpert@gmail.com,830 Curran Memorial Hwy,Female
1992595,Angela,Shrute,1979-09-20,AngelaShrute@gmail.com,1470 S Washington St,Female
1992596,Michael,Scott,1981-11-25,MichaelScott@gmail.com,506 State Road,Male
1992597,Dwight,Shrute,1971-10-25,DwightShrute@gmail.com,742 Main Street,Female
1992598,Walter,White,1983-01-01,WalterWhite@gmail.com,72 Main St,Male
1992599,Tiger,Woods,1984-09-19,TigerWoods@gmail.com,200 Otis Street,Male
1992600,Jordan,Spieth,1986-04-26,JordanSpieth@gmail.com,180 North King Street,Male
1992601,Arnold,Palmer,1987-11-16,ArnoldPalmer@gmail.com,555 East Main St,Male
